Encomenda  177110;
2025-07-14;
n/ ref;qnt;qntBonus;v/ ref;ean;descri��o;
006354VY_01;7;0;7259564;3337871323332;Vichy: Liftactiv Ha Cuidado de Olhos Antirrugas Refirmante 15mL;
002480VY_01;2;0;6923748;3337871318901;Vichy: Homme Sensi Shave Espuma de Barbear Anti-Irrita��es 200mL;
012950VY_01;8;0;6242511;3337875660648;Vichy: Normaderm Phytosolution Pasta de Enxofre S.O.S. 20mL;
002030RP_01;16;0;6062919;3337875632676;La Roche Posay: Toleriane M�scara de Pestanas Waterproof 5,9g Black;
013516VY_01;4;0;6391342;3337875722520;Vichy: Liftactiv Collagen Specialist 16 Creme Noite 50mL;
020066VY_01;7;0;7289488;3337875873086;Vichy: Liftactiv Creme B3 Retinol Puro Noite 50mL;
005844RP_01;12;0;6955641;3337875451789;La Roche Posay: Lipikar Fluido de Corpo Hidratante e Apaziguante 750mL;
011363DE_01;2;0;6334458;3337875673914;Dercos: Kera-Solutions M�scara Reconstituinte 200mL;
001847RP_01;1;0;6464131;3433422404397;La Roche Posay: �gua Termal 150mL;
014279VY_01;16;0;6345421;3337875695152;Vichy: Capital Soleil �gua Protetora Bronze Solar 200mL SPF50;
001865RP_01;9;0;7260802;3337875846110;La Roche Posay: Hydraphase Ha UV Intense Ligeiro 50mL SPF25;
007219RP_01;4;0;6044982;3337875583589;La Roche Posay: Hyalu B5 Creme Antienvelhecimento, Preenchedor Anti-Rugas 40mL;
022602RP_01;8;0;7421818;3337875909792;La Roche Posay: Lipikar Gel Ureia 30% 50mL;
001897RP_04;7;0;7254235;3337875864008;La Roche Posay: Toleriane Teint Base Fluida 30mL 16 Hal�;
001900RP_03;4;0;6038273;3337872412066;La Roche Posay: Toleriane Teint Mineral P� Compacto 9,5g 15 Dor�;
007023DE_01;5;0;6363481;3337875677967;Dercos: Densi Solutions B�lsamo Capilar Redensificante 200mL;
001997RP_01;8;0;6948257;3337872420153;La Roche Posay: Anthelios XL Bruma Invis�vel 200mL SPF50+;
002249VY_01;3;0;7259556;3337871322502;Vichy: Liftactiv H.a. Creme Antirrugas Refirmante Noite 50mL;
015364VY_01;16;0;7104158;3337875810869;Vichy: Capital Soleil Cell Protect UV Spray 200mL SPF50+;
001864RP_01;8;0;7260794;3337875846097;La Roche Posay: Hydraphase Ha UV Intense Rico 50mL SPF25;
005346DE_01;2;0;6974147;3337875485128;Dercos: Shampoo Ultra-Apaziguante Cabelo Oleoso 200mL;
002038RP_01;7;0;6101048;0000030079915;La Roche Posay: Silicium Top Coat Verniz Fortificante e Protetor 7mL;
003353VY_01;8;0;6947390;3337871330569;Vichy: Puret� Thermal Lo��o T�nica Aperfei�oadora 200mL;
014260VY_01;2;0;6533281;3337875734387;Vichy: Neovadiol Rose Platinium Contorno de Olhos 15mL;
007773VE_05;9;0;;3337875905602;CeraVe: Creme Hidratante para Limpeza de Rosto e Corpo Pele Normal Seca 473mL Refill;
012796RP_01;7;0;6354589;3337875696838;La Roche Posay: Anthelios Spray Protector Solar 200mL SPF50+;
016806VE_03;12;0;7537696;3337875923866;CeraVe: Gel de Limpeza para Controlo de Imperfei��es 473mL;
002481VY_01;5;0;6923755;3337871318895;Vichy: Homme Gel de Barbear Anti-Irrita��es 150mL;
017774RP_01;9;0;7254342;3337875845489;La Roche Posay: Anthelios Dermo-Pediatrics Wet Skin Eco Tube 200mL SPF50;
001511DE_01;2;0;7273771;3337875859325;Dercos: Shampoo Mineral Suave Uso Frequente 200mL;
021212RP_01;4;0;7345827;3337875886024;La Roche Posay: Anthelios Post-Uv After-Sun 200mL;
002040RP_02;4;0;6838359;0000030077263;La Roche Posay: Silicium Pastel Care 6mL 02 Rose;
002240VY_01;5;0;6931907;3337871325770;Vichy: Capital Soleil Hydramist Bruma Invis�vel SPF50 200 mL 200mL SPF50;
015365VY_01;5;0;7104141;3337875810890;Vichy: Capital Soleil Cell Protect UV Spray 200mL SPF30;
002040RP_12;2;0;6838300;30076815;La Roche Posay: Silicium Color Care 6mL 24 Rouge Parfais;
022475RP_01;1;0;7254441;3337872420658;La Roche Posay: Toleriane L�pis para sobrancelhas 1&nbsp;
010239BD_01;323;0;6284711;3701129800096;Bioderma: Pigmentbio �reas Sens�veis 75mL;
000296BD_03;247;0;7479402;5600757718347;Bioderma: Atoderm Creme Ultra de Corpo Peles Sens�veis 2x500 mL No Fragrance;
000251BD_01;179;0;6541755;3401348840421;Bioderma: S�bium Hydra Creme Hidratante Pele Oleosa 40mL;
011229BD_02;61;0;7123562;3701129800553;Bioderma: Pigmentbio Esfoliante 500mL;
000227BD_03;107;0;6981845;3401399277092;Bioderma: Sebium Gel de Limpeza Pele Oleosa 500mL;
006274BD_01;102;0;7478628;3401381507565;Bioderma: Sensibio Gel de Limpeza Suavizante para Pele Sens�vel 200mL;
000296BD_02;109;0;7260711;3701129805343;Bioderma: Atoderm Creme Ultra Corpo Peles Sens�veis 500mL No Fragrance;
000245BD_01;100;0;6569954;3401397240470;Bioderma: Sensibio DS+ Creme Dermatite Seborreica 40mL;
006274BD_03;62;0;6284612;3701129800843;Bioderma: Sensibio Gel de Limpeza Suavizante para Pele Sens�vel 500 mL;
000234BD_04;108;0;6881821;3401399372926;Bioderma: Atoderm Gel Douche Suave 1 L;
015297BD_01;42;0;7245241;3701129804377;Bioderma: Photoderm Aquafluide Rosto 40mL SPF50;
018364BD_01;51;0;7291443;3701129807835;Bioderma: Sensibio �leo de limpeza micelar 150mL;
005442BD_01;140;0;6980912;3401329447809;Bioderma: Hydrabio Gel-Creme Hidratante Pele Desidratada Normal Mista 40mL;
000223BD_02;47;0;6921353;3401397163496;Bioderma: Cicabio Creme Cicatrizante 100mL;
005440BD_01;40;0;6980888;3401347869775;Bioderma: Hydrabio S�rum para Peles Sensiveis Desidratadas 40mL;
011229BD_01;59;0;6284679;3701129800546;Bioderma: Pigmentbio Esfoliante 200mL;
003485BD_05;15;0;6045724;5600757718118;Bioderma: Atoderm Intensive B�lsamo Calmante Pele At�pica 2x500 mL;
003509BD_01;3;0;6923490;3401360147508;Bioderma: S�bium Global Tratamento Intensivo Anti-Acne 30mL;
008210BD_01;71;0;6239590;3701129812112;Bioderma: Sensibio H2O Toalhetes de Limpeza Suave 25&nbsp;un.;
015298BD_02;15;0;7119545;3701129804384;Bioderma: Photoderm Aquafluide Protetor Ultra-Fluido 40mL Light SPF50;
000239BD_01;96;0;6809442;3401343696245;Bioderma: Sensibio AR+ Creme 40mL;
003515BD_01;96;0;6894261;3701129811399;Bioderma: Cicabio Arnica Reabsor��o de Hematomas Pisaduras e Incha�os 40mL;
000221BD_08;55;0;6865097;3401395376706;Bioderma: Sensibio H2O Solu��o Micelar 100mL Normal;
003510BD_01;13;0;6880831;3401361353625;Bioderma: S�bium Pore Refiner Corretor de Poros Dilatados 30mL;
010243BD_01;55;0;6284687;3701129800072;Bioderma: Pigmentbio Cuidado Di�rio 40mL SPF50;
008211BD_01;72;0;6239525;3401320655418;Bioderma: Sensibio T�nico Suave para Pele Sens�vel 250mL;
012503BD_01;38;0;6284695;3701129800089;Bioderma: Pigmentbio Night Renewer Cuidado de Noite Antimanchas 50mL;
020334BD_01;168;0;7400812;3701129807309;Bioderma: Photoderm Pediatrics Protetor Solar Mineral 50g SPF50+;
015303BD_04;98;0;7266619;3701129807248;Bioderma: Photoderm Spray Protetor Solar de Corpo 300mL SPF50+;
023603BD_01;194;0;7537290;3701129813614;Bioderma: Photoderm Xdefense Ultra-Fluid Protetor Solar 40mL NO COLOR SPF50+;
005989BD_01;43;0;6981837;3401528519895;Bioderma: Atoderm �leo de Duche Nutritivo Anti-Irrita��es 200mL;
000223BD_01;47;0;6837666;3401347869546;Bioderma: Cicabio Creme Cicatrizante 40mL;
000244BD_01;51;0;6569962;3401397240531;Bioderma: Sensibio DS+ Gel Limpeza Dermatite Seborreica 200mL;
000260BD_01;19;0;6852483;3701129801000;Bioderma: Atoderm B�lsamo Labial 15mL;
003514BD_01;8;0;7487520;3701129810088;Bioderma: Cicabio Creme+ 30mL SPF50;
013072BD_01;26;0;6386391;3701129801963;Bioderma: Atoderm Intensive Eye Cuidado para Eczema da P�lpebra 100mL;
006274BD_04;21;0;6386573;3701129800850;Bioderma: Sensibio Gel de Limpeza Suavizante para Pele Sens�vel 100mL;
015299BD_02;35;0;7119859;3701129803448;Bioderma: Photoderm Nude Touch Protetor Mineral 40mL Light SPF50+;
000279BD_01;87;0;7266577;3701129807316;Bioderma: Photoderm Pediatrics Spray 200mL SPF50+;
000221BD_01;49;0;6576678;3401575390447;Bioderma: Sensibio H2O Solu��o Micelar 250mL Normal;
005989BD_02;37;0;6981852;3401528520846;Bioderma: Atoderm �leo de Duche Nutritivo Anti-Irrita��es 1000mL;
017330BD_01;43;0;7244343;3701129804995;Bioderma: Sensibio Defensive S�rum 30mL;
015302BD_01;110;0;7119644;3701129803639;Bioderma: Photoderm Leite Ultra 200mL SPF50+;
000224BD_02;1;0;6287516;3701129800225;Bioderma: Cicabio Lo��o Cicatrizante Spray 40mL;
015299BD_01;10;0;7119685;3701129803455;Bioderma: Photoderm Nude Touch Protetor Mineral 40mL Very Light SPF50+;
011358BD_01;37;0;6284703;3701129800119;Bioderma: Pigmentbio C-Concentrate Corretor de Pigmenta��o 15mL;
000296BD_04;27;0;7260703;3701129805329;Bioderma: Atoderm Creme Ultra Corpo Peles Sens�veis 200mL No Fragrance;
015307BD_01;49;0;7119982;3701129803721;Bioderma: Photoderm Protetor Mineral Fluido 75g SPF50+;
000237BD_01;36;0;6595520;3401346673335;Bioderma: Sensibio Gel Contorno de Olhos Sens�veis 15mL;
011223BD_01;27;0;6284729;3701129800102;Bioderma: Pigmentbio H2O �gua Micelar 250mL;
003485BD_02;43;0;6936328;3701129802076;Bioderma: Atoderm Intensive B�lsamo Calmante Pele At�pica 500mL;
000234BD_01;22;0;6869784;3401399372407;Bioderma: Atoderm Gel Douche Suave 500mL;
015311BD_01;70;0;7119610;3701129803837;Bioderma: Photoderm P�s-Solar Gel-Creme 500mL;
000286BD_03;9;0;6229468;5600757718682;Bioderma: ABCDerm Gel de Douche Suave para Crian�as 1000mL;
